"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"All other non-drug and non-alcohol causes"	"O9"	560	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"All other drug-induced causes"	"D9"	110	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"All other alcohol-induced causes"	"A9"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"All other non-drug and non-alcohol causes"	"O9"	589	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"All other drug-induced causes"	"D9"	110	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"All other alcohol-induced causes"	"A9"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"All other non-drug and non-alcohol causes"	"O9"	641	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"May, 2020"	"2020/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"May, 2020"	"2020/05"	"All other drug-induced causes"	"D9"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"May, 2020"	"2020/05"	"All other alcohol-induced causes"	"A9"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"May, 2020"	"2020/05"	"All other non-drug and non-alcohol causes"	"O9"	603	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"All other drug-induced causes"	"D9"	80	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"All other alcohol-induced causes"	"A9"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"All other non-drug and non-alcohol causes"	"O9"	562	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"All other drug-induced causes"	"D9"	89	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"All other alcohol-induced causes"	"A9"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"All other non-drug and non-alcohol causes"	"O9"	611	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"All other drug-induced causes"	"D9"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"All other alcohol-induced causes"	"A9"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"All other non-drug and non-alcohol causes"	"O9"	656	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"All other drug-induced causes"	"D9"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable
